SKU_NAME,FEED_DATE,VIEWS,UNITS
B1212:PZ:V,7/5/2019,499,41
B1212:PZ:V,7/6/2019,527,39
B1212:PZ:V,7/7/2019,594,42
B1212:PZ:V,7/8/2019,617,41
B1212:PZ:V,7/9/2019,602,44
B1212:PZ:V,7/10/2019,513,31
B1212:PZ:V,7/11/2019,519,46
B1212:PZ:V,7/12/2019,563,47
B1212:PZ:V,7/13/2019,536,42
B1212:PZ:V,7/14/2019,576,34
B1212:PZ:V,7/15/2019,1175,60
B1212:PZ:V,7/16/2019,904,75
B1212:PZ:V,7/17/2019,632,43
B1212:PZ:V,7/18/2019,560,37
B1212:PZ:V,7/19/2019,682,50
B1212:PZ:V,7/20/2019,728,69
B1212:PZ:V,7/21/2019,692,50
B1212:PZ:V,7/22/2019,728,65
B1212:PZ:V,7/23/2019,736,65
B1212:PZ:V,7/24/2019,627,45
B1212:PZ:V,7/25/2019,674,73
B1212:PZ:V,7/26/2019,582,54
B1212:PZ:V,7/27/2019,663,40
B1212:PZ:V,7/28/2019,623,62
B1212:PZ:V,7/29/2019,609,55
B1212:PZ:V,7/30/2019,584,45
B1212:PZ:V,7/31/2019,627,53
B1212:PZ:V,8/1/2019,634,55
B1212:PZ:V,8/2/2019,602,81
B1212:PZ:V,8/3/2019,669,47
B1212:PZ:V,8/4/2019,634,53
B1212:PZ:V,8/5/2019,559,45
B1212:PZ:V,8/6/2019,623,100
B1212:PZ:V,8/7/2019,616,52
B1212:PZ:V,8/8/2019,589,52
B1212:PZ:V,8/9/2019,586,44
B1212:PZ:V,8/10/2019,574,39
B1212:PZ:V,8/11/2019,629,38
B1212:PZ:V,8/12/2019,620,42
B1212:PZ:V,8/13/2019,687,62
B1212:PZ:V,8/14/2019,650,31
B1212:PZ:V,8/15/2019,615,50
B1212:PZ:V,8/16/2019,646,46
B1212:PZ:V,8/17/2019,758,65
B1212:PZ:V,8/18/2019,790,60
B1212:PZ:V,8/19/2019,662,61
B1212:PZ:V,8/20/2019,627,100
B1212:PZ:V,8/21/2019,573,48
B1212:PZ:V,8/22/2019,666,56
B1212:PZ:V,8/23/2019,680,54
B1212:PZ:V,8/24/2019,796,76
B1212:PZ:V,8/25/2019,887,96
B1212:PZ:V,8/26/2019,796,90
B1212:PZ:V,8/27/2019,661,61
B1212:PZ:V,8/28/2019,669,69
B1212:PZ:V,8/29/2019,694,88
B1212:PZ:V,8/30/2019,858,74
B1212:PZ:V,8/31/2019,759,72
B111S;CCLC,5/1/2019,1591,431
B111S;CCLC,5/2/2019,1751,425
B111S;CCLC,5/3/2019,1495,353
B111S;CCLC,5/4/2019,1484,183
B111S;CCLC,5/5/2019,1652,208
B111S;CCLC,5/6/2019,2075,461
B111S;CCLC,5/7/2019,2096,521
B111S;CCLC,5/8/2019,1661,492
B111S;CCLC,5/9/2019,2133,514
B111S;CCLC,5/10/2019,1890,432
B111S;CCLC,5/11/2019,1484,217
B111S;CCLC,5/12/2019,1541,203
B111S;CCLC,5/13/2019,2189,522
B111S;CCLC,5/14/2019,2041,513
B111S;CCLC,5/15/2019,2092,550
B111S;CCLC,5/16/2019,2068,536
B111S;CCLC,5/17/2019,1881,461
B111S;CCLC,5/18/2019,1453,217
B111S;CCLC,5/19/2019,1639,254
B111S;CCLC,5/20/2019,2036,530
B111S;CCLC,5/21/2019,2064,595
B111S;CCLC,5/22/2019,2177,568
B111S;CCLC,5/23/2019,2097,508
B111S;CCLC,5/24/2019,1810,413
B111S;CCLC,5/25/2019,1626,234
B111S;CCLC,5/26/2019,1504,190
B111S;CCLC,5/27/2019,1606,278
B111S;CCLC,5/28/2019,2003,504
B111S;CCLC,5/29/2019,2166,550
B111S;CCLC,5/30/2019,1875,516
B111S;CCLC,5/31/2019,1413,346
B111S;CCLC,6/1/2019,1254,208
B111S;CCLC,6/2/2019,1398,188
B111S;CCLC,6/3/2019,1319,301
B111S;CCLC,6/4/2019,1856,473
B111S;CCLC,6/5/2019,1864,423
B111S;CCLC,6/6/2019,1894,487
B111S;CCLC,6/7/2019,1774,394
B111S;CCLC,6/8/2019,1370,212
B111S;CCLC,6/9/2019,1432,162
B111S;CCLC,6/10/2019,1883,490
B111S;CCLC,6/11/2019,1673,466
B111S;CCLC,6/12/2019,1822,422
B111S;CCLC,6/13/2019,1991,479
B111S;CCLC,6/14/2019,1862,508
B111S;CCLC,6/15/2019,1596,222
B111S;CCLC,6/16/2019,1720,219
B111S;CCLC,6/17/2019,2177,485
B111S;CCLC,6/18/2019,2194,517
B111S;CCLC,6/19/2019,2292,606
B111S;CCLC,6/20/2019,2360,529
B111S;CCLC,6/21/2019,1971,470
B111S;CCLC,6/22/2019,1446,197
B111S;CCLC,6/23/2019,1823,263
B111S;CCLC,6/24/2019,1932,421
B111S;CCLC,6/25/2019,1671,383
B111S;CCLC,6/26/2019,1714,411
B111S;CCLC,6/27/2019,1468,343
B111S;CCLC,6/28/2019,1504,368
B111S;CCLC,6/29/2019,1285,167
B111S;CCLC,6/30/2019,1183,185
B111S;CCLC,7/1/2019,1514,389
B111S;CCLC,7/2/2019,1654,397
B111S;CCLC,7/3/2019,1526,354
B111S;CCLC,7/4/2019,1076,141
B111S;CCLC,7/5/2019,1415,272
B111S;CCLC,7/6/2019,1296,156
B111S;CCLC,7/7/2019,1215,142
B111S;CCLC,7/8/2019,1585,328
B111S;CCLC,7/9/2019,1646,406
B111S;CCLC,7/10/2019,1662,353
B111S;CCLC,7/11/2019,1652,373
B111S;CCLC,7/12/2019,1659,356
B111S;CCLC,7/13/2019,1386,177
B111S;CCLC,7/14/2019,1934,198
B111S;CCLC,7/15/2019,4468,745
B111S;CCLC,7/16/2019,3283,714
B111S;CCLC,7/17/2019,1603,326
B111S;CCLC,7/18/2019,1470,333
B111S;CCLC,7/19/2019,1333,309
B111S;CCLC,7/20/2019,1100,136
B111S;CCLC,7/21/2019,1311,165
B111S;CCLC,7/22/2019,1774,428
B111S;CCLC,7/23/2019,1823,442
B111S;CCLC,7/24/2019,1691,349
B111S;CCLC,7/25/2019,1586,424
B111S;CCLC,7/26/2019,1422,350
B111S;CCLC,7/27/2019,1235,192
B111S;CCLC,7/28/2019,1136,117
B111S;CCLC,7/29/2019,1375,342
B111S;CCLC,7/30/2019,1883,452
B111S;CCLC,7/31/2019,1451,368
B111S;CCLC,8/1/2019,1139,309
B111S;CCLC,8/2/2019,1165,321
B111S;CCLC,8/3/2019,887,117
B111S;CCLC,8/4/2019,1192,203
B111S;CCLC,8/5/2019,1777,404
B111S;CCLC,8/6/2019,1824,444
B111S;CCLC,8/7/2019,1733,435
B111S;CCLC,8/8/2019,1790,371
B111S;CCLC,8/9/2019,1581,367
B111S;CCLC,8/10/2019,1106,160
B111S;CCLC,8/11/2019,1167,166
B111S;CCLC,8/12/2019,1620,427
B111S;CCLC,8/13/2019,1484,355
B111S;CCLC,8/14/2019,1519,397
B111S;CCLC,8/15/2019,1456,361
B111S;CCLC,8/16/2019,1391,309
B111S;CCLC,8/17/2019,1193,165
B111S;CCLC,8/18/2019,1184,136
B111S;CCLC,8/19/2019,1492,388
B111S;CCLC,8/20/2019,1516,405
B111S;CCLC,8/21/2019,1472,435
B111S;CCLC,8/22/2019,1588,431
B111S;CCLC,8/23/2019,1462,447
B111S;CCLC,8/24/2019,1097,176
B111S;CCLC,8/25/2019,1184,204
B111S;CCLC,8/26/2019,1293,323
B111S;CCLC,8/27/2019,1384,380
B111S;CCLC,8/28/2019,1396,353
B111S;CCLC,8/29/2019,1269,390
B111S;CCLC,8/30/2019,1164,293
B111S;CCLC,8/31/2019,1045,163
D102VX\R52,5/1/2019,2700,734
D102VX\R52,5/2/2019,2594,771
D102VX\R52,5/3/2019,2305,589
D102VX\R52,5/4/2019,1303,175
D102VX\R52,5/5/2019,1491,216
D102VX\R52,5/6/2019,2513,698
D102VX\R52,5/7/2019,2673,719
D102VX\R52,5/8/2019,2681,852
D102VX\R52,5/9/2019,2531,676
D102VX\R52,5/10/2019,2371,888
D102VX\R52,5/11/2019,1447,219
D102VX\R52,5/12/2019,1320,208
D102VX\R52,5/13/2019,2848,1000
D102VX\R52,5/14/2019,2888,820
D102VX\R52,5/15/2019,2900,1055
D102VX\R52,5/16/2019,2910,941
D102VX\R52,5/17/2019,2560,818
D102VX\R52,5/18/2019,1345,209
D102VX\R52,5/19/2019,1235,209
D102VX\R52,5/20/2019,2512,1023
D102VX\R52,5/21/2019,2838,1011
D102VX\R52,5/22/2019,2991,937
D102VX\R52,5/23/2019,2753,977
D102VX\R52,5/24/2019,2207,591
D102VX\R52,5/25/2019,1666,253
D102VX\R52,5/26/2019,1437,174
D102VX\R52,5/27/2019,1814,310
D102VX\R52,5/28/2019,2873,936
D102VX\R52,5/29/2019,2999,944
D102VX\R52,5/30/2019,3073,895
D102VX\R52,5/31/2019,2639,735
D102VX\R52,6/1/2019,1504,237
D102VX\R52,6/2/2019,1590,242
D102VX\R52,6/3/2019,3150,981
D102VX\R52,6/4/2019,3128,1077
D102VX\R52,6/5/2019,3063,899
D102VX\R52,6/6/2019,3110,1015
D102VX\R52,6/7/2019,2770,807
D102VX\R52,6/8/2019,1725,258
D102VX\R52,6/9/2019,1648,242
D102VX\R52,6/10/2019,2975,958
D102VX\R52,6/11/2019,3218,1039
D102VX\R52,6/12/2019,3379,1070
D102VX\R52,6/13/2019,3282,1082
D102VX\R52,6/14/2019,2776,913
D102VX\R52,6/15/2019,1564,239
D102VX\R52,6/16/2019,1540,230
D102VX\R52,6/17/2019,3494,1201
D102VX\R52,6/18/2019,3462,1184
D102VX\R52,6/19/2019,3264,952
D102VX\R52,6/20/2019,3330,1013
D102VX\R52,6/21/2019,2605,668
D102VX\R52,6/22/2019,1463,227
D102VX\R52,6/23/2019,1645,240
D102VX\R52,6/24/2019,3171,1044
D102VX\R52,6/25/2019,2956,929
D102VX\R52,6/26/2019,3123,779
D102VX\R52,6/27/2019,3064,976
D102VX\R52,6/28/2019,2556,803
D102VX\R52,6/29/2019,1470,187
D102VX\R52,6/30/2019,1544,261
D102VX\R52,7/1/2019,2771,1045
D102VX\R52,7/2/2019,2972,834
D102VX\R52,7/3/2019,2588,672
D102VX\R52,7/4/2019,1277,171
D102VX\R52,7/5/2019,2063,479
D102VX\R52,7/6/2019,1333,176
D102VX\R52,7/7/2019,1566,215
D102VX\R52,7/8/2019,3103,1056
D102VX\R52,7/9/2019,3203,1082
D102VX\R52,7/10/2019,3124,1091
D102VX\R52,7/11/2019,3337,1128
D102VX\R52,7/12/2019,2939,748
D102VX\R52,7/13/2019,1698,232
D102VX\R52,7/14/2019,1878,203
D102VX\R52,7/15/2019,5853,1432
D102VX\R52,7/16/2019,4994,1333
D102VX\R52,7/17/2019,3515,1048
D102VX\R52,7/18/2019,3264,821
D102VX\R52,7/19/2019,2704,830
D102VX\R52,7/20/2019,1701,260
D102VX\R52,7/21/2019,1675,258
D102VX\R52,7/22/2019,3335,975
D102VX\R52,7/23/2019,3325,1092
D102VX\R52,7/24/2019,3264,908
D102VX\R52,7/25/2019,3237,854
D102VX\R52,7/26/2019,2622,815
D102VX\R52,7/27/2019,1529,221
D102VX\R52,7/28/2019,1708,326
D102VX\R52,7/29/2019,3258,894
D102VX\R52,7/30/2019,3333,1172
D102VX\R52,7/31/2019,3417,1301
D102VX\R52,8/1/2019,3328,1237
D102VX\R52,8/2/2019,3174,1124
D102VX\R52,8/3/2019,1885,337
D102VX\R52,8/4/2019,1999,335
D102VX\R52,8/5/2019,3572,1052
D102VX\R52,8/6/2019,3669,1190
D102VX\R52,8/7/2019,3853,1274
D102VX\R52,8/8/2019,3884,962
D102VX\R52,8/9/2019,3333,814
D102VX\R52,8/10/2019,2033,301
D102VX\R52,8/11/2019,2328,341
D102VX\R52,8/12/2019,3841,1014
D102VX\R52,8/13/2019,4026,1128
D102VX\R52,8/14/2019,3996,1219
D102VX\R52,8/15/2019,3775,1406
D102VX\R52,8/16/2019,3501,1026
D102VX\R52,8/17/2019,2101,312
D102VX\R52,8/18/2019,2494,570
D102VX\R52,8/19/2019,4035,1069
D102VX\R52,8/20/2019,4042,1320
D102VX\R52,8/21/2019,4031,1417
D102VX\R52,8/22/2019,4106,1218
D102VX\R52,8/23/2019,3423,919
D102VX\R52,8/24/2019,2000,353
D102VX\R52,8/25/2019,2374,405
D102VX\R52,8/26/2019,4034,1195
D102VX\R52,8/27/2019,4208,1466
D102VX\R52,8/28/2019,4038,1287
D102VX\R52,8/29/2019,3682,1218
D102VX\R52,8/30/2019,3135,917
D102VX\R52,8/31/2019,2049,331
C120[H:8NV,5/1/2019,468,68
C120[H:8NV,5/2/2019,435,71
C120[H:8NV,5/3/2019,441,72
C120[H:8NV,5/4/2019,350,26
C120[H:8NV,5/5/2019,340,23
C120[H:8NV,5/6/2019,493,77
C120[H:8NV,5/7/2019,448,74
C120[H:8NV,5/8/2019,419,84
C120[H:8NV,5/9/2019,382,79
C120[H:8NV,5/10/2019,338,69
C120[H:8NV,5/11/2019,249,25
C120[H:8NV,5/12/2019,379,27
C120[H:8NV,5/13/2019,459,90
C120[H:8NV,5/14/2019,427,76
C120[H:8NV,5/15/2019,390,73
C120[H:8NV,5/16/2019,490,91
C120[H:8NV,5/17/2019,432,74
C120[H:8NV,5/18/2019,329,33
C120[H:8NV,5/19/2019,370,42
C120[H:8NV,5/20/2019,463,81
C120[H:8NV,5/21/2019,565,121
C120[H:8NV,5/22/2019,598,141
C120[H:8NV,5/23/2019,445,78
C120[H:8NV,5/24/2019,453,64
C120[H:8NV,5/25/2019,326,22
C120[H:8NV,5/26/2019,327,26
C120[H:8NV,5/27/2019,325,25
C120[H:8NV,5/28/2019,515,116
C120[H:8NV,5/29/2019,546,136
C120[H:8NV,5/30/2019,529,127
C120[H:8NV,5/31/2019,518,141
C120[H:8NV,6/1/2019,410,43
C120[H:8NV,6/2/2019,443,50
C120[H:8NV,6/3/2019,548,98
C120[H:8NV,6/4/2019,581,124
C120[H:8NV,6/5/2019,559,88
C120[H:8NV,6/6/2019,598,134
C120[H:8NV,6/7/2019,527,97
C120[H:8NV,6/8/2019,424,51
C120[H:8NV,6/9/2019,441,56
C120[H:8NV,6/10/2019,590,83
C120[H:8NV,6/11/2019,558,112
C120[H:8NV,6/12/2019,549,141
C120[H:8NV,6/13/2019,613,173
C120[H:8NV,6/14/2019,472,99
C120[H:8NV,6/15/2019,391,28
C120[H:8NV,6/16/2019,429,50
C120[H:8NV,6/17/2019,567,107
C120[H:8NV,6/18/2019,526,97
C120[H:8NV,6/19/2019,528,110
C120[H:8NV,6/20/2019,505,66
C120[H:8NV,6/21/2019,414,86
C120[H:8NV,6/22/2019,407,34
C120[H:8NV,6/23/2019,433,27
C120[H:8NV,6/24/2019,530,111
C120[H:8NV,6/25/2019,543,85
C120[H:8NV,6/26/2019,481,96
C120[H:8NV,6/27/2019,487,93
C120[H:8NV,6/28/2019,480,72
C120[H:8NV,6/29/2019,404,34
C120[H:8NV,6/30/2019,388,25
C120[H:8NV,7/1/2019,489,97
C120[H:8NV,7/2/2019,518,96
C120[H:8NV,7/3/2019,476,87
C120[H:8NV,7/4/2019,307,27
C120[H:8NV,7/5/2019,431,49
C120[H:8NV,7/6/2019,381,30
C120[H:8NV,7/7/2019,380,34
C120[H:8NV,7/8/2019,470,66
C120[H:8NV,7/9/2019,491,70
C120[H:8NV,7/10/2019,490,96
C120[H:8NV,7/11/2019,499,100
C120[H:8NV,7/12/2019,497,76
C120[H:8NV,7/13/2019,319,26
C120[H:8NV,7/14/2019,410,26
C120[H:8NV,7/15/2019,796,130
C120[H:8NV,7/16/2019,807,130
C120[H:8NV,7/17/2019,440,70
C120[H:8NV,7/18/2019,492,68
C120[H:8NV,7/19/2019,410,82
C120[H:8NV,7/20/2019,352,27
C120[H:8NV,7/21/2019,387,22
C120[H:8NV,7/22/2019,539,91
C120[H:8NV,7/23/2019,506,94
C120[H:8NV,7/24/2019,532,115
C120[H:8NV,7/25/2019,424,76
C120[H:8NV,7/26/2019,501,79
C120[H:8NV,7/27/2019,322,36
C120[H:8NV,7/28/2019,381,31
C120[H:8NV,7/29/2019,485,77
C120[H:8NV,7/30/2019,451,88
C120[H:8NV,7/31/2019,525,129
C120[H:8NV,8/1/2019,495,126
C120[H:8NV,8/2/2019,361,48
C120[H:8NV,8/3/2019,329,32
C120[H:8NV,8/4/2019,376,43
C120[H:8NV,8/5/2019,549,79
C120[H:8NV,8/6/2019,447,61
C120[H:8NV,8/7/2019,455,68
C120[H:8NV,8/8/2019,436,74
C120[H:8NV,8/9/2019,438,116
C120[H:8NV,8/10/2019,354,21
C120[H:8NV,8/11/2019,364,30
C120[H:8NV,8/12/2019,535,77
C120[H:8NV,8/13/2019,542,149
C120[H:8NV,8/14/2019,507,93
C120[H:8NV,8/15/2019,455,111
C120[H:8NV,8/16/2019,360,79
C120[H:8NV,8/17/2019,393,26
C120[H:8NV,8/18/2019,353,31
C120[H:8NV,8/19/2019,506,83
C120[H:8NV,8/20/2019,495,83
C120[H:8NV,8/21/2019,515,126
C120[H:8NV,8/22/2019,460,80
C120[H:8NV,8/23/2019,439,97
C120[H:8NV,8/24/2019,346,28
C120[H:8NV,8/25/2019,378,25
C120[H:8NV,8/26/2019,457,67
C120[H:8NV,8/27/2019,468,73
C120[H:8NV,8/28/2019,505,82
C120[H:8NV,8/29/2019,404,74
C120[H:8NV,8/30/2019,401,72
C120[H:8NV,8/31/2019,289,34
B223F54NLG,5/1/2019,506,99
B223F54NLG,5/2/2019,545,104
B223F54NLG,5/3/2019,475,90
B223F54NLG,5/4/2019,339,58
B223F54NLG,5/5/2019,470,58
B223F54NLG,5/6/2019,520,90
B223F54NLG,5/7/2019,621,113
B223F54NLG,5/8/2019,549,103
B223F54NLG,5/9/2019,546,98
B223F54NLG,5/10/2019,498,104
B223F54NLG,5/11/2019,370,47
B223F54NLG,5/12/2019,375,60
B223F54NLG,5/13/2019,473,104
B223F54NLG,5/14/2019,575,84
B223F54NLG,5/15/2019,551,102
B223F54NLG,5/16/2019,542,94
B223F54NLG,5/17/2019,540,94
B223F54NLG,5/18/2019,451,52
B223F54NLG,5/19/2019,520,50
B223F54NLG,5/20/2019,601,106
B223F54NLG,5/21/2019,567,136
B223F54NLG,5/22/2019,560,105
B223F54NLG,5/23/2019,552,66
B223F54NLG,5/24/2019,541,97
B223F54NLG,5/25/2019,551,43
B223F54NLG,5/26/2019,512,47
B223F54NLG,5/27/2019,436,55
B223F54NLG,5/28/2019,548,107
B223F54NLG,5/29/2019,520,96
B223F54NLG,5/30/2019,548,92
B223F54NLG,5/31/2019,452,60
B223F54NLG,6/1/2019,474,40
B223F54NLG,6/2/2019,468,55
B223F54NLG,6/3/2019,542,65
B223F54NLG,6/4/2019,572,71
B223F54NLG,6/5/2019,574,102
B223F54NLG,6/6/2019,534,67
B223F54NLG,6/7/2019,456,62
B223F54NLG,6/8/2019,361,53
B223F54NLG,6/9/2019,334,54
B223F54NLG,6/10/2019,567,81
B223F54NLG,6/11/2019,531,32
B223F54NLG,6/12/2019,503,26
B223F54NLG,6/13/2019,453,17
B223F54NLG,6/14/2019,458,54
B223F54NLG,6/15/2019,339,50
B223F54NLG,6/16/2019,333,36
B223F54NLG,6/17/2019,507,91
B223F54NLG,6/18/2019,544,77
B223F54NLG,6/19/2019,600,79
B223F54NLG,6/20/2019,646,85
B223F54NLG,6/21/2019,554,96
B223F54NLG,6/22/2019,307,42
B223F54NLG,6/23/2019,344,10
B223F54NLG,6/24/2019,524,17
B223F54NLG,6/25/2019,560,33
B223F54NLG,6/26/2019,559,79
B223F54NLG,6/27/2019,599,129
B223F54NLG,6/28/2019,517,86
B223F54NLG,6/29/2019,288,38
B223F54NLG,6/30/2019,412,66
B223F54NLG,7/1/2019,522,82
B223F54NLG,7/2/2019,548,89
B223F54NLG,7/3/2019,508,112
B223F54NLG,7/4/2019,358,47
B223F54NLG,7/5/2019,413,67
B223F54NLG,7/6/2019,334,52
B223F54NLG,7/7/2019,329,47
B223F54NLG,7/8/2019,486,91
B223F54NLG,7/9/2019,556,77
B223F54NLG,7/10/2019,607,88
B223F54NLG,7/11/2019,637,97
B223F54NLG,7/12/2019,515,97
B223F54NLG,7/13/2019,410,51
B223F54NLG,7/14/2019,413,51
B223F54NLG,7/15/2019,1211,151
B223F54NLG,7/16/2019,843,160
B223F54NLG,7/17/2019,629,81
B223F54NLG,7/18/2019,595,94
B223F54NLG,7/19/2019,557,82
B223F54NLG,7/20/2019,419,52
B223F54NLG,7/21/2019,437,50
B223F54NLG,7/22/2019,589,84
B223F54NLG,7/23/2019,608,112
B223F54NLG,7/24/2019,603,133
B223F54NLG,7/25/2019,584,110
B223F54NLG,7/26/2019,523,98
B223F54NLG,7/27/2019,371,74
B223F54NLG,7/28/2019,422,58
B223F54NLG,7/29/2019,551,116
B223F54NLG,7/30/2019,626,122
B223F54NLG,7/31/2019,601,125
B223F54NLG,8/1/2019,572,114
B223F54NLG,8/2/2019,522,112
B223F54NLG,8/3/2019,450,71
B223F54NLG,8/4/2019,452,83
B223F54NLG,8/5/2019,636,116
B223F54NLG,8/6/2019,618,132
B223F54NLG,8/7/2019,638,54
B223F54NLG,8/8/2019,638,67
B223F54NLG,8/9/2019,551,99
B223F54NLG,8/10/2019,360,54
B223F54NLG,8/11/2019,436,53
B223F54NLG,8/12/2019,536,89
B223F54NLG,8/13/2019,592,96
B223F54NLG,8/14/2019,658,117
B223F54NLG,8/15/2019,620,93
B223F54NLG,8/16/2019,553,96
B223F54NLG,8/17/2019,441,65
B223F54NLG,8/18/2019,379,46
B223F54NLG,8/19/2019,578,16
B223F54NLG,8/20/2019,543,12
B223F54NLG,8/21/2019,550,91
B223F54NLG,8/22/2019,587,99
B223F54NLG,8/23/2019,464,80
B223F54NLG,8/24/2019,346,60
B223F54NLG,8/25/2019,379,62
B223F54NLG,8/26/2019,577,89
B223F54NLG,8/27/2019,588,93
B223F54NLG,8/28/2019,640,97
B223F54NLG,8/29/2019,496,84
B223F54NLG,8/30/2019,495,100
B223F54NLG,8/31/2019,369,65
C211F62H36,5/1/2019,722,52
C211F62H36,5/2/2019,748,44
C211F62H36,5/3/2019,649,44
C211F62H36,5/4/2019,655,5
C211F62H36,5/5/2019,538,4
C211F62H36,5/6/2019,743,67
C211F62H36,5/7/2019,766,55
C211F62H36,5/8/2019,809,65
C211F62H36,5/9/2019,764,60
C211F62H36,5/10/2019,603,38
C211F62H36,5/11/2019,575,23
C211F62H36,5/12/2019,518,21
C211F62H36,5/13/2019,648,11
C211F62H36,5/14/2019,553,0
C211F62H36,5/15/2019,537,0
C211F62H36,5/16/2019,564,0
C211F62H36,5/17/2019,436,0
C211F62H36,5/18/2019,426,0
C211F62H36,5/19/2019,420,2
C211F62H36,5/20/2019,537,0
C211F62H36,5/21/2019,563,3
C211F62H36,5/22/2019,560,1
C211F62H36,5/23/2019,552,2
C211F62H36,5/24/2019,420,0
C211F62H36,5/25/2019,423,1
C211F62H36,5/26/2019,320,0
C211F62H36,5/27/2019,380,0
C211F62H36,5/28/2019,465,0
C211F62H36,5/29/2019,510,1
C211F62H36,5/30/2019,456,0
C211F62H36,5/31/2019,372,0
C211F62H36,6/1/2019,360,0
C211F62H36,6/2/2019,443,0
C211F62H36,6/3/2019,610,0
C211F62H36,6/4/2019,505,1
C211F62H36,6/5/2019,493,0
C211F62H36,6/6/2019,501,0
C211F62H36,6/7/2019,367,0
C211F62H36,6/8/2019,288,0
C211F62H36,6/9/2019,321,0
C211F62H36,6/10/2019,470,0
C211F62H36,6/11/2019,472,0
C211F62H36,6/12/2019,481,0
C211F62H36,6/13/2019,491,0
C211F62H36,6/14/2019,417,0
C211F62H36,6/15/2019,351,1
C211F62H36,6/16/2019,289,0
C211F62H36,6/17/2019,417,0
C211F62H36,6/18/2019,423,0
C211F62H36,6/24/2019,433,0
C211F62H36,6/25/2019,417,0
C211F62H36,6/26/2019,379,0
C211F62H36,6/27/2019,363,0
C211F62H36,6/28/2019,396,1
C211F62H36,6/29/2019,284,0
C211F62H36,6/30/2019,285,0
C211F62H36,7/2/2019,436,0
C211F62H36,7/3/2019,427,-1
C211F62H36,7/4/2019,359,1
C211F62H36,7/5/2019,296,0
C211F62H36,7/6/2019,307,0
C211F62H36,7/7/2019,326,0
C211F62H36,7/9/2019,463,0
C211F62H36,7/10/2019,414,0
C211F62H36,7/11/2019,446,0
C211F62H36,7/12/2019,344,0
C211F62H36,7/13/2019,263,0
C211F62H36,7/14/2019,382,0
C211F62H36,7/17/2019,437,0
C211F62H36,7/18/2019,396,0
C211F62H36,7/19/2019,375,0
C211F62H36,7/20/2019,292,0
C211F62H36,7/21/2019,317,0
C211F62H36,7/23/2019,395,0
C211F62H36,7/24/2019,404,0
C211F62H36,7/25/2019,340,0
C211F62H36,7/26/2019,321,0
C211F62H36,7/27/2019,288,0
C211F62H36,7/28/2019,290,0
C211F62H36,7/29/2019,324,0
C211F62H36,7/30/2019,390,0
C211F62H36,7/31/2019,396,0
